"OGT group abbrevations: E:Eukaryotes,BM:Bacterial mesophilic, THP:Thermophilic, and AM:Archaea mesophilic",,,,,,,,,,
species,Observed OGT group,Predicted_probability of OGT group,,,,Predicted OGT group,Methods,Obseved Species Kingdom,Observed OGT,Observed OGT group
Mycoplasma nasistruthionis,BM,0.000123437,0.99843415,0.000218258,0.001224154,BM,SVM,Bacteria,37,Mesophiles
Mycoplasmopsis bovigenitalium,BM,0.00016153,0.998690986,0.000297786,0.000849699,BM,SVM,Bacteria,37,Mesophiles
Mycoplasmopsis californica,BM,0.000155598,0.998688514,0.000282661,0.000873227,BM,SVM,Bacteria,37,Mesophiles
Mycoplasmopsis pulmonis,BM,9.54E-05,0.994975903,0.000247381,0.004681296,BM,SVM,Bacteria,37,Mesophiles
Myroides profundi,BM,0.000391401,0.996502202,0.002485276,0.000621121,BM,SVM,Bacteria,18,Mesophiles
Nannizzia gypsea CBS 118893,E,0.00263386,0.038649187,0.952212399,0.006504555,E,SVM,Eukaryota,24,Mesophiles
Natrarchaeobaculum aegyptiacum,THP,0.912638073,0,0,0.087361927,AM,SVM,Archaea,55,Thermophiles
Natrialba aegyptia DSM 13077,AM,0.840078426,0.001096892,0.00162857,0.157196112,AM,SVM,Archaea,37,Mesophiles
Natrinema salaciae,AM,0.840993737,0.000266568,0,0.158739694,AM,SVM,Archaea,45,Mesophiles
Niastella koreensis GR20-10,BM,0.000262285,0.992526675,0.000542266,0.006668773,BM,SVM,Bacteria,26,Mesophiles
Nitrospirillum amazonense CBAmc,BM,0.003489015,0.942031536,0.005041761,0.049437688,BM,SVM,Bacteria,30,Mesophiles
Nocardia brasiliensis,BM,0.000671305,0.989000539,0.001225318,0.009102839,BM,SVM,Bacteria,37,Mesophiles
Nocardia yunnanensis,BM,0.006717469,0.901014617,0.014145802,0.078122111,BM,SVM,Bacteria,28,Mesophiles
Nonomuraea coxensis DSM 45129,BM,0.000247019,0.988064371,0.000609088,0.011079523,BM,SVM,Bacteria,29,Mesophiles
Oceanithermus profundus DSM 14977,THP,0.107278449,0.314445463,0.287060501,0.291215586,BM,SVM,Bacteria,60,Thermophiles
Ogataea parapolymorpha DL-1,E,0.004099083,0.052273225,0.93852911,0.005098582,E,SVM,Eukaryota,25,Mesophiles
Ogataea polymorpha,E,0.034012473,0.136004708,0.805371862,0.024610958,E,SVM,Eukaryota,25,Mesophiles
Paenibacillus dendritiformis,BM,0.125559717,0.32301849,0.268765638,0.282656155,BM,SVM,Bacteria,37,Mesophiles
Paenibacillus odorifer,BM,0.003387466,0.924689294,0.00857668,0.06334656,BM,SVM,Bacteria,30,Mesophiles
Paludibaculum fermentans,BM,0.136843952,0.369207287,0.210151978,0.283796784,BM,SVM,Bacteria,25,Mesophiles
Paraburkholderia acidiphila,BM,0.001571079,0.973724427,0.003426045,0.021278449,BM,SVM,Bacteria,28,Mesophiles
Paraburkholderia atlantica,BM,0.001682895,0.971964402,0.004057862,0.022294842,BM,SVM,Bacteria,28,Mesophiles
Paraburkholderia caffeinilytica,BM,0.003292514,0.951488013,0.003339546,0.041879927,BM,SVM,Bacteria,28,Mesophiles
Parageobacillus thermoglucosidasius,THP,0.123283002,0.317812665,0.275309909,0.283594424,BM,SVM,Bacteria,55,Thermophiles
Paraglaciecola psychrophila 170,BM,0.000626447,0.972162431,0.001492146,0.025718976,BM,SVM,Bacteria,15,Mesophiles
Pedobacter psychrophilus,BM,0.000495562,0.985294025,0.001096598,0.013113814,BM,SVM,Bacteria,16,Mesophiles
Penicillium expansum,E,0.002340514,0.031110313,0.962406754,0.004142419,E,SVM,Eukaryota,24,Mesophiles
Penicillium subrubescens,E,0.003495804,0.048006992,0.944277993,0.004219212,E,SVM,Eukaryota,25,Mesophiles
Petrotoga halophila DSM 16923,THP,0.170832964,0.347197869,0.162342972,0.319626195,BM,SVM,Bacteria,60,Thermophiles
Petrotoga mexicana DSM 14811,THP,0.176543436,0.335759614,0.166416008,0.321280943,BM,SVM,Bacteria,55,Thermophiles
Petrotoga sibirica DSM 13575,THP,0.174199213,0.335426272,0.167068993,0.323305523,BM,SVM,Bacteria,55,Thermophiles
Phytohabitans suffuscus,BM,0.010966984,0.864356423,0.022507896,0.102168697,BM,SVM,Bacteria,28,Mesophiles
Planifilum fulgidum,THP,0.140658868,0.287917613,0.286577094,0.284846425,BM,SVM,Bacteria,60,Thermophiles
Pleurotus pulmonarius,E,0.004091553,0.05009364,0.940973182,0.004841625,E,SVM,Eukaryota,22,Mesophiles
Polaribacter pacificus,BM,0.000580049,0.990516377,0.001912277,0.006991297,BM,SVM,Bacteria,16,Mesophiles
Protomyces lactucae-debilis,E,0.005933424,0.064096941,0.923791105,0.006178529,E,SVM,Eukaryota,25,Mesophiles
Pseudomonas asplenii,BM,8.35E-05,0.998842624,0.000148409,0.000925448,BM,SVM,Bacteria,28,Mesophiles
Pseudomonas monsensis,BM,0.000116907,0.998536417,0.000249287,0.001097389,BM,SVM,Bacteria,28,Mesophiles
Pseudomonas silesiensis,BM,9.37E-05,0.999024831,0.000153166,0.000728306,BM,SVM,Bacteria,28,Mesophiles
Pseudomonas vancouverensis,BM,0.000108365,0.998636574,0.000233148,0.001021913,BM,SVM,Bacteria,30,Mesophiles
Pseudorhodoplanes sinuspersici,BM,0.000475113,0.981487415,0.000875843,0.017161629,BM,SVM,Bacteria,30,Mesophiles
Pseudothermotoga lettingae TMO,THP,0.172596957,0.312294018,0.205017111,0.310091914,BM,SVM,Bacteria,65,Hyperthermophiles
Psychrobacillus insolitus,BM,0.111405597,0.309765075,0.288657977,0.29017135,BM,SVM,Bacteria,15,Mesophiles
Psychrobacter glacincola,BM,6.90E-05,0.996653708,9.81E-05,0.003179247,BM,SVM,Bacteria,15,Mesophiles
Purpureocillium lilacinum,E,0.003020821,0.039010181,0.952991147,0.004977851,E,SVM,Eukaryota,25,Mesophiles
Pyrobaculum arsenaticum DSM 13514,THP,0.137788092,0.063696092,0.09743057,0.701085246,THP,SVM,Archaea,95,Hyperthermophiles
Pyrodictium occultum,THP,0.131801129,0.067175681,0.093243704,0.707779487,THP,SVM,Archaea,95,Hyperthermophiles
Ralstonia insidiosa,BM,0.010185336,0.890775914,0.011773069,0.087265681,BM,SVM,Bacteria,28,Mesophiles
Rhizobium bangladeshense,BM,0.001618425,0.958608481,0.002856498,0.036916596,BM,SVM,Bacteria,29,Mesophiles
Rhizobium esperanzae,BM,0.001825853,0.955211054,0.003282874,0.039680218,BM,SVM,Bacteria,28,Mesophiles
Rhodococcus erythropolis R138,BM,0.00061749,0.994150132,0.000989432,0.004242946,BM,SVM,Bacteria,29,Mesophiles
Rhodothermus marinus DSM 4252,THP,0.014339313,0.854720849,0.021862459,0.109077379,BM,SVM,Bacteria,67,Hyperthermophiles
Rhodotorula diobovata,E,0.004627014,0.056181795,0.933283267,0.005907924,E,SVM,Eukaryota,25,Mesophiles
Roseovarius indicus,BM,0.016850948,0.826120461,0.032589204,0.124439387,BM,SVM,Bacteria,28,Mesophiles
Saccharomyces paradoxus,E,0.004982728,0.034652901,0.941122143,0.019242228,E,SVM,Eukaryota,25,Mesophiles
Saccharothrix espanaensis DSM 44229,BM,0.000832942,0.97875689,0.001302793,0.019107375,BM,SVM,Bacteria,28,Mesophiles
Salinadaptatus halalkaliphilus,AM,0.891299815,0,0,0.108700185,AM,SVM,Archaea,37,Mesophiles
Sandarakinorhabdus limnophila DSM 17366,BM,0.000884245,0.969811686,0.001780689,0.02752338,BM,SVM,Bacteria,15,Mesophiles
Scardovia inopinata JCM 12537,BM,0.008357805,0.876798529,0.019964606,0.09487906,BM,SVM,Bacteria,37,Mesophiles
Schizosaccharomyces cryophilus OY26,E,0.002864957,0.030589057,0.960440214,0.006105772,E,SVM,Eukaryota,25,Mesophiles
Schizosaccharomyces octosporus yFS286,E,0.002653236,0.030375585,0.961769677,0.005201503,E,SVM,Eukaryota,25,Mesophiles
Shewanella halifaxensis HAW-EB4,BM,0.000114056,0.999490846,0.000144868,0.000250231,BM,SVM,Bacteria,15,Mesophiles
Siminovitchia thermophila,THP,0.144243127,0.289827419,0.28251181,0.283417643,BM,SVM,Bacteria,50,Thermophiles
Sinorhizobium fredii CCBAU 25509,BM,0.001496942,0.959028889,0.002881527,0.036592642,BM,SVM,Bacteria,25,Mesophiles
Spirochaeta thermophila DSM 6578,THP,0.004384213,0.915208244,0.010563394,0.069844149,BM,SVM,Bacteria,65,Hyperthermophiles
Spiroplasma alleghenense,BM,0.00042948,0.996662774,0.00263695,0.000270796,BM,SVM,Bacteria,30,Mesophiles
Spiroplasma apis B31,BM,0.000458255,0.996084395,0.003092622,0.000364728,BM,SVM,Bacteria,30,Mesophiles
Spirosoma aerolatum,BM,0.000645185,0.971573099,0.001848525,0.025933191,BM,SVM,Bacteria,25,Mesophiles
Spirosoma endbachense,BM,0.034744158,0.664302563,0.097475523,0.203477756,BM,SVM,Bacteria,25,Mesophiles
Stieleria neptunia,BM,0.000721179,0.969758499,0.001906386,0.027613936,BM,SVM,Bacteria,28,Mesophiles
Streptobacillus moniliformis DSM 12112,BM,0.017048402,0.796585855,0.044306625,0.142059118,BM,SVM,Bacteria,37,Mesophiles
Streptomyces alboniger,BM,0.000271644,0.997562614,0.00069327,0.001472472,BM,SVM,Bacteria,28,Mesophiles
Streptomyces angustmyceticus,BM,0.002035201,0.954422073,0.005768594,0.037774133,BM,SVM,Bacteria,29,Mesophiles
Streptomyces atratus,BM,0.000472259,0.996755124,0.001735809,0.001036807,BM,SVM,Bacteria,28,Mesophiles
Streptomyces aurantiacus,BM,0.001907885,0.949414749,0.005438326,0.04323904,BM,SVM,Bacteria,28,Mesophiles
Streptomyces clavuligerus,BM,0.000554454,0.995531553,0.002628871,0.001285123,BM,SVM,Bacteria,28,Mesophiles
Streptomyces davaonensis JCM 4913,BM,0.000302371,0.997460173,0.000905634,0.001331823,BM,SVM,Bacteria,28,Mesophiles
Streptomyces griseus subsp. griseus NBRC 13350,BM,0.000439978,0.996624883,0.001554412,0.001380727,BM,SVM,Bacteria,28,Mesophiles
Streptomyces rectiverticillatus,BM,0.000715538,0.994843934,0.003848528,0.000592,BM,SVM,Bacteria,28,Mesophiles
Symbiobacterium thermophilum IAM 14863,THP,0.148573716,0.315123164,0.250100797,0.286202324,BM,SVM,Bacteria,60,Thermophiles
Tepidibacter thalassicus DSM 15285,THP,0.110824297,0.31071888,0.288138534,0.290318289,BM,SVM,Bacteria,50,Thermophiles
Tepidiphilus succinatimandens,THP,0.192389705,0.334474625,0.161762838,0.311372832,BM,SVM,Bacteria,55,Thermophiles
Thalassomonas viridans,BM,0.015323415,0.804832551,0.041625359,0.138218675,BM,SVM,Bacteria,25,Mesophiles
Thermacetogenium phaeum DSM 12270,THP,0.167753373,0.311357201,0.214614148,0.306275278,BM,SVM,Bacteria,55,Thermophiles
Thermaerobacter marianensis DSM 12885,THP,0.087290694,0.437835411,0.208119212,0.266754683,BM,SVM,Bacteria,75,Hyperthermophiles
Thermoactinomyces vulgaris,THP,0.122173785,0.375992003,0.226161042,0.27567317,BM,SVM,Bacteria,50,Thermophiles
Thermoanaerobacter kivui,THP,0.129930899,0.30632398,0.279283638,0.284461484,BM,SVM,Bacteria,60,Thermophiles
Thermoanaerobacterium butyriciformans,THP,0.13481646,0.289828384,0.289524663,0.285830493,BM,SVM,Bacteria,55,Thermophiles
Thermoanaerobaculum aquaticum,THP,0.160983154,0.296330728,0.250404375,0.292281744,BM,SVM,Bacteria,60,Thermophiles
Thermocladium modestius,THP,0.299705495,0.120727588,0.129195351,0.450371567,THP,SVM,Archaea,75,Hyperthermophiles
Thermoclostridium caenicola,THP,0.09767338,0.44232955,0.196880551,0.263116518,BM,SVM,Bacteria,56,Thermophiles
Thermoclostridium stercorarium subsp. stercorarium DSM 8532,THP,0.110007037,0.388028741,0.228612204,0.273352019,BM,SVM,Bacteria,60,Thermophiles
Thermodesulfobacterium geofontis OPF15,THP,0.164027029,0.292673089,0.251243228,0.292056654,BM,SVM,Bacteria,80,Hyperthermophiles
Thermodesulfobacterium hydrogeniphilum,THP,0.171587337,0.311521035,0.207724059,0.30916757,BM,SVM,Bacteria,70,Hyperthermophiles
Thermodesulfobium acidiphilum,THP,0.151189455,0.352705289,0.19771576,0.298389496,BM,SVM,Bacteria,55,Thermophiles
Thermodesulfovibrio thiophilus DSM 17215,THP,0.156716985,0.329730593,0.216356685,0.297195738,BM,SVM,Bacteria,55,Thermophiles
Thermogymnomonas acidicola,THP,0.524916876,0,0,0.475083124,AM,SVM,Archaea,60,Thermophiles
Thermomonospora amylolytica,BM,0.001541798,0.960567576,0.003056377,0.034834249,BM,SVM,Bacteria,45,Mesophiles
Thermonema lapsum,THP,0.080642755,0.545221605,0.135028832,0.239106808,BM,SVM,Bacteria,60,Thermophiles
Thermosipho japonicus,THP,0.173584999,0.31264536,0.203668183,0.310101458,BM,SVM,Bacteria,70,Hyperthermophiles
Thermosulfurimonas dismutans,THP,0.155188759,0.287006795,0.270676218,0.287128228,THP,SVM,Bacteria,70,Hyperthermophiles
Thermosynechococcus elongatus PKUAC-SCTE542,THP,0.075229292,0.483831281,0.185135512,0.255803915,BM,SVM,Bacteria,50,Thermophiles
Thermotoga maritima MSB8,THP,0.166749229,0.294318266,0.245086053,0.293846452,BM,SVM,Bacteria,80,Hyperthermophiles
Thermovenabulum gondwanense,THP,0.142780036,0.288348671,0.28374476,0.285126532,BM,SVM,Bacteria,65,Hyperthermophiles
Thermus antranikianii DSM 12462,THP,0.108327002,0.315216681,0.285998119,0.290458198,BM,SVM,Bacteria,70,Hyperthermophiles
Thermus scotoductus,THP,0.11027647,0.302036396,0.295047795,0.292639339,BM,SVM,Bacteria,65,Hyperthermophiles
Thiomicrorhabdus arctica DSM 13458,BM,0.012201619,0.855857846,0.024464597,0.107475939,BM,SVM,Bacteria,15,Mesophiles
Torulaspora delbrueckii,E,0.027830808,0.147731967,0.804281403,0.020155823,E,SVM,Eukaryota,25,Mesophiles
Torulaspora globosa,E,0.024441536,0.130591195,0.827066152,0.017901117,E,SVM,Eukaryota,25,Mesophiles
Trichophyton equinum CBS 127.97,E,0.003010779,0.036136166,0.952222279,0.008630775,E,SVM,Eukaryota,30,Mesophiles
Trichophyton interdigitale,E,0.00243459,0.031189048,0.961985264,0.004391098,E,SVM,Eukaryota,30,Mesophiles
Uncinocarpus reesii 1704,E,0.003968075,0.043707973,0.947423329,0.004900623,E,SVM,Eukaryota,24,Mesophiles
Ureibacillus thermophilus,THP,0.11884935,0.361639615,0.242641832,0.276869203,BM,SVM,Bacteria,50,Thermophiles
Ustilago hordei,E,0.003018457,0.031506678,0.959043064,0.006431801,E,SVM,Eukaryota,24,Mesophiles
Verticillium nonalfalfae,E,0.003249471,0.045076449,0.947404526,0.004269555,E,SVM,Eukaryota,25,Mesophiles
Vibrio penaeicida,BM,0.011056458,0.842035143,0.029659599,0.1172488,BM,SVM,Bacteria,22,Mesophiles
Wallemia mellicola CBS 633.66,E,0.003491914,0.033719073,0.956265221,0.006523792,E,SVM,Eukaryota,22,Mesophiles
Weissella viridescens,BM,0.024054911,0.73094105,0.070009983,0.174994056,BM,SVM,Bacteria,30,Mesophiles
Westerdykella ornata,E,0.003112514,0.036386854,0.955268995,0.005231637,E,SVM,Eukaryota,24,Mesophiles
Wickerhamiella sorbophila,E,0.00260133,0.031760971,0.960826642,0.004811057,E,SVM,Eukaryota,25,Mesophiles
Wickerhamomyces ciferrii,E,0.003810049,0.035571878,0.951369105,0.009248967,E,SVM,Eukaryota,25,Mesophiles
Zygosaccharomyces parabailii,E,0.002621162,0.033515696,0.959018173,0.004844969,E,SVM,Eukaryota,25,Mesophiles
Zygosaccharomyces rouxii,E,0.007256042,0.068232492,0.917521926,0.00698954,E,SVM,Eukaryota,25,Mesophiles
Absidia repens,E,0.000169337,0.00149761,0.998333052,9.85E-10,E,NN,Eukaryota,24,Mesophiles
Achromobacter spanius,BM,0.000178224,0.764341939,3.26E-06,0.235476581,BM,NN,Bacteria,37,Mesophiles
Acidianus brierleyi,THP,0.001509499,0.177060797,1.77E-05,0.821412036,THP,NN,Archaea,72,Hyperthermophiles
Acidilobus saccharovorans 345-15,THP,0.000265303,0.000219141,6.78E-07,0.999514878,THP,NN,Archaea,80,Hyperthermophiles
Acremonium chrysogenum ATCC 11550,E,0.005337685,0.001674529,0.992987666,1.21E-07,E,NN,Eukaryota,22,Mesophiles
Actinotignum urinale,BM,9.92E-05,0.916858275,2.38E-06,0.083040158,BM,NN,Bacteria,37,Mesophiles
Alicyclobacillus herbarius DSM 13609,THP,0.000364138,0.001703549,3.02E-06,0.997929297,THP,NN,Bacteria,55,Thermophiles
Alicyclobacillus mali NBRC 102425,THP,0.000272,0.079913773,1.72E-06,0.919812507,THP,NN,Bacteria,50,Thermophiles
Alternaria alternata,E,0.000177596,0.001506046,0.998316358,1.09E-09,E,NN,Eukaryota,26,Mesophiles
Amycolatopsis mediterranei RB,BM,5.76E-05,0.970807332,2.05E-06,0.029133056,BM,NN,Bacteria,28,Mesophiles
Amycolatopsis roodepoortensis,BM,5.63E-05,0.972291224,2.05E-06,0.027650454,BM,NN,Bacteria,28,Mesophiles
Anaerolinea thermolimosa,THP,0.000126329,0.839177435,2.30E-06,0.160693934,BM,NN,Bacteria,50,Thermophiles
Anoxybacillus tepidamans,THP,0.001311904,0.001203917,1.01E-05,0.997474088,THP,NN,Bacteria,53,Thermophiles
Anoxybacillus vitaminiphilus,THP,0.00591741,0.023987917,0.000150804,0.969943869,THP,NN,Bacteria,55,Thermophiles
Archaeoglobus veneficus SNP6,THP,0.000174332,1.54E-05,2.32E-07,0.999809992,THP,NN,Archaea,75,Hyperthermophiles
Ardenticatena maritima,THP,0.000199954,0.158725962,1.66E-06,0.841072427,THP,NN,Bacteria,65,Hyperthermophiles
Aspergillus ellipticus CBS 707.79,E,0.000169189,0.001493132,0.998337678,9.83E-10,E,NN,Eukaryota,24,Mesophiles
Aspergillus ibericus CBS 121593,E,0.000168891,0.00149342,0.998337688,9.81E-10,E,NN,Eukaryota,25,Mesophiles
Aspergillus japonicus CBS 114.51,E,0.000168481,0.001491292,0.998340226,9.77E-10,E,NN,Eukaryota,25,Mesophiles
Aspergillus lentulus,E,0.000180988,0.001577934,0.998241077,1.15E-09,E,NN,Eukaryota,25,Mesophiles
Aspergillus thermomutatus,E,0.00224186,0.001623423,0.996134174,5.43E-07,E,NN,Eukaryota,25,Mesophiles
Asticcacaulis benevestitus DSM 16100 = ATCC BAA-896,BM,0.000106456,0.903624419,2.43E-06,0.096266692,BM,NN,Bacteria,17,Mesophiles
Bacillus thuringiensis serovar berliner ATCC 10792,BM,0.005374994,0.656347762,0.002146021,0.336131224,BM,NN,Bacteria,30,Mesophiles
Bacillus toyonensis,BM,0.000535568,0.98810903,0.003480868,0.007874534,BM,NN,Bacteria,30,Mesophiles
Bartonella alsatica,BM,0.000161734,0.851436582,3.59E-06,0.14839809,BM,NN,Bacteria,37,Mesophiles
Bartonella ancashensis,BM,0.000153144,0.901449048,4.31E-06,0.098393493,BM,NN,Bacteria,30,Mesophiles
Bartonella bovis 91-4,BM,0.000311889,0.56323102,1.55E-05,0.436441623,BM,NN,Bacteria,37,Mesophiles
Beauveria brongniartii RCEF 3172,E,0.000857074,0.001003953,0.998138927,4.56E-08,E,NN,Eukaryota,25,Mesophiles
Bifiguratus adelaidae,E,0.000966469,0.000929238,0.99810425,4.35E-08,E,NN,Eukaryota,25,Mesophiles
Bradyrhizobium erythrophlei,BM,8.21E-05,0.92697487,2.05E-06,0.072941012,BM,NN,Bacteria,28,Mesophiles
Bradyrhizobium guangxiense,BM,8.15E-05,0.931363022,2.12E-06,0.068553311,BM,NN,Bacteria,28,Mesophiles
Brevibacillus brevis,BM,0.005561654,0.782586132,0.006393382,0.205458832,BM,NN,Bacteria,30,Mesophiles
Brockia lithotrophica,THP,0.000181971,0.000291867,4.81E-07,0.999525681,THP,NN,Bacteria,63,Hyperthermophiles
Burkholderia gladioli,BM,8.51E-05,0.933026374,2.43E-06,0.066886074,BM,NN,Bacteria,30,Mesophiles
Burkholderia lata,BM,0.000115014,0.955100332,5.26E-06,0.044779394,BM,NN,Bacteria,29,Mesophiles
Burkholderia metallica,BM,0.000119165,0.952572593,5.25E-06,0.047302996,BM,NN,Bacteria,28,Mesophiles
Burkholderia oklahomensis C6786,BM,0.000120995,0.844566354,2.38E-06,0.155310269,BM,NN,Bacteria,32,Mesophiles
Burkholderia plantarii,BM,8.95E-05,0.925197151,2.40E-06,0.074710951,BM,NN,Bacteria,30,Mesophiles
Burkholderia territorii,BM,0.000120505,0.949402662,5.19E-06,0.050471644,BM,NN,Bacteria,30,Mesophiles
Calderihabitans maritimus,THP,0.000421429,0.003928842,1.84E-06,0.995647888,THP,NN,Bacteria,65,Hyperthermophiles
Caldicellulosiruptor acetigenus DSM 7040,THP,0.002555531,0.006614491,2.40E-05,0.99080599,THP,NN,Bacteria,70,Hyperthermophiles
Caldicellulosiruptor obsidiansis OB47,THP,0.001655137,0.006568491,1.30E-05,0.991763327,THP,NN,Bacteria,75,Hyperthermophiles
Caldichromatium japonicum,THP,0.000249251,0.282421461,2.27E-06,0.717327018,THP,NN,Bacteria,50,Thermophiles
Caldilinea aerophila DSM 14535 = NBRC 104270,THP,0.000160492,0.559969813,1.74E-06,0.439867956,BM,NN,Bacteria,55,Thermophiles
Caloramator proteoclasticus DSM 10124,THP,0.004887313,0.324421228,0.000474475,0.670216983,THP,NN,Bacteria,55,Thermophiles
Candidatus Rhabdochlamydia porcellionis,BM,0.000258102,0.932875209,0.000938896,0.065927794,BM,NN,Bacteria,25,Mesophiles
Carboxydothermus ferrireducens DSM 11255,THP,0.000700962,0.000471698,2.86E-06,0.998824483,THP,NN,Bacteria,65,Hyperthermophiles
Carboxydothermus pertinax,THP,0.00103501,0.001078542,6.14E-06,0.997880307,THP,NN,Bacteria,65,Hyperthermophiles
Chaetomium globosum CBS 148.51,E,0.000306228,0.001327928,0.998365842,2.55E-09,E,NN,Eukaryota,26,Mesophiles
Clostridium saccharoperbutylacetonicum N1-4(HMT),BM,6.35E-05,0.997284731,0.001467367,0.001184378,BM,NN,Bacteria,37,Mesophiles
Coprothermobacter platensis DSM 11748,THP,0.000223146,0.000462978,7.81E-07,0.999313094,THP,NN,Bacteria,55,Thermophiles
Corallococcus coralloides DSM 2259,BM,0.000139949,0.860178473,3.25E-06,0.139678329,BM,NN,Bacteria,30,Mesophiles
Cryobacterium roopkundense,BM,9.57E-05,0.921597969,2.38E-06,0.078303983,BM,NN,Bacteria,15,Mesophiles
Cryobacterium soli,BM,0.000103973,0.904266751,2.37E-06,0.095626904,BM,NN,Bacteria,15,Mesophiles
Daejeonella rubra,BM,0.000199837,0.966579698,0.008156504,0.025063961,BM,NN,Bacteria,15,Mesophiles
Deferribacter autotrophicus,THP,0.000339159,0.006223508,1.62E-06,0.99343571,THP,NN,Bacteria,60,Thermophiles
Deferrisoma camini S3R1,THP,0.000182773,0.00576149,6.30E-07,0.994055107,THP,NN,Bacteria,50,Thermophiles
Deinococcus marmoris DSM 12784,BM,0.000107596,0.951186124,3.66E-06,0.048702624,BM,NN,Bacteria,15,Mesophiles
Delftia lacustris,BM,0.000134951,0.966584401,5.72E-06,0.033274926,BM,NN,Bacteria,24,Mesophiles
Desulfohalotomaculum alkaliphilum DSM 12257,THP,0.002536884,0.014142856,2.87E-05,0.983291528,THP,NN,Bacteria,50,Thermophiles
Desulfonema limicola,BM,0.000986089,0.149322841,1.45E-05,0.849676615,THP,NN,Bacteria,30,Mesophiles
Desulfotomaculum nigrificans DSM 574,THP,0.002201509,0.023998554,3.38E-05,0.973766134,THP,NN,Bacteria,55,Thermophiles
Desulfurispora thermophila DSM 16022,THP,0.000693356,0.000744546,3.09E-06,0.998559006,THP,NN,Bacteria,50,Thermophiles
Desulfurococcus mucosus DSM 2162,THP,0.000279462,0.000125978,7.29E-07,0.999593831,THP,NN,Archaea,85,Hyperthermophiles
Dictyostelium discoideum AX4,E,0.000171723,0.001753563,0.998074712,1.21E-09,E,NN,Eukaryota,24,Mesophiles
Fervidobacterium nodosum Rt17-B1,THP,0.000208091,0.002222071,9.47E-07,0.99756889,THP,NN,Bacteria,70,Hyperthermophiles
Fervidobacterium pennivorans DSM 9078,THP,0.000225104,0.003025077,1.30E-06,0.996748515,THP,NN,Bacteria,65,Hyperthermophiles
Flavobacterium faecale,BM,7.64E-05,0.934107871,0.064543307,0.001272426,BM,NN,Bacteria,18,Mesophiles
Francisella persica ATCC VR-331,BM,2.37E-05,0.975329762,7.62E-06,0.024638891,BM,NN,Bacteria,34,Mesophiles
Fusarium poae,E,0.000188674,0.001475004,0.998336321,1.15E-09,E,NN,Eukaryota,25,Mesophiles
Geobacillus jurassicus NBRC 107829,THP,0.014497716,0.126039405,0.000789346,0.858673532,THP,NN,Bacteria,55,Thermophiles
Geobacillus kaustophilus HTA426,THP,0.007653214,0.10804994,0.000500345,0.883796501,THP,NN,Bacteria,55,Thermophiles
Geobacillus thermocatenulatus,THP,0.008169189,0.160900933,0.000734586,0.830195291,THP,NN,Bacteria,60,Thermophiles
Geobacillus thermodenitrificans,THP,0.002318921,0.004251819,2.91E-05,0.993400119,THP,NN,Bacteria,55,Thermophiles
Geobacillus vulcani PSS1,THP,0.007497478,0.117792572,0.000532009,0.874177941,THP,NN,Bacteria,50,Thermophiles
Gimesia alba,BM,0.000238981,0.970164997,0.002355508,0.027240514,BM,NN,Bacteria,30,Mesophiles
Gimesia fumaroli,BM,0.000222065,0.974304071,0.002645505,0.022828359,BM,NN,Bacteria,28,Mesophiles
Glaciibacter superstes DSM 21135,BM,0.000162568,0.669710541,2.10E-06,0.330124795,BM,NN,Bacteria,15,Mesophiles
Haladaptatus cibarius D43,AM,0.995180624,2.06E-05,0.000603071,0.004195729,AM,NN,Archaea,37,Mesophiles
Haloarchaeobius iranensis,AM,0.992263653,1.38E-05,0.000530145,0.007192369,AM,NN,Archaea,37,Mesophiles
Halobaculum halophilum,AM,0.99392626,1.89E-05,0.000815863,0.005239026,AM,NN,Archaea,37,Mesophiles
Halobellus rufus,AM,0.991321729,1.20E-05,0.000585176,0.008081123,AM,NN,Archaea,37,Mesophiles
Halococcus thailandensis JCM 13552,AM,0.996198555,3.30E-05,0.001026425,0.002742048,AM,NN,Archaea,37,Mesophiles
Halogeometricum pallidum JCM 14848,AM,0.992337118,1.45E-05,0.000509954,0.007138465,AM,NN,Archaea,37,Mesophiles
Halogranum rubrum,AM,0.996177162,4.02E-05,0.001461895,0.002320735,AM,NN,Archaea,37,Mesophiles
Halomicrobium katesii DSM 19301,AM,0.992355076,1.35E-05,0.000907516,0.006723947,AM,NN,Archaea,40,Mesophiles
Halomicrobium zhouii,AM,0.996323094,3.08E-05,0.000750979,0.00289514,AM,NN,Archaea,37,Mesophiles
Halopelagius longus,AM,0.996291885,3.07E-05,0.000765482,0.002911952,AM,NN,Archaea,37,Mesophiles
Halopenitus persicus,AM,0.994489937,2.12E-05,0.000948843,0.004540062,AM,NN,Archaea,37,Mesophiles
Halorhabdus rudnickae,AM,0.981249647,5.19E-06,0.000268437,0.018476725,AM,NN,Archaea,38,Mesophiles
Halorubrum depositum,AM,0.964088156,6.20E-06,0.000341067,0.03556458,AM,NN,Archaea,37,Mesophiles
Halorubrum halodurans,AM,0.985973484,7.72E-06,0.000765995,0.013252805,AM,NN,Archaea,37,Mesophiles
Halorubrum persicum,AM,0.985472933,7.21E-06,0.000445757,0.014074096,AM,NN,Archaea,37,Mesophiles
Halorussus salinus,AM,0.985501959,6.40E-06,0.000332962,0.014158678,AM,NN,Archaea,37,Mesophiles
